business,category,subcategory,question,answer
estebanrios,Propietario,Propietario,¿No me han pagado la renta?,"El pago de la renta se consigna desde el Banco Caja Social a los propietario que solicitaron el pago por transferencia. La fecha de pago es el último día habil del mes, puede tardar hasta tres (03) días ne registrar el pago en su cuenta bancaria si no es Banco Caja Social. Par amayro información puede enviar una solicitud a contabildiad@estebanrios.com.
Si usted recibo cheque, el mismo se entrega a partir del día 4 de cada mes en las distintas sedes de la organización."
estebanrios,Propietario,Propietario,Necesito un certificaod de retención,Favor enviar un correo electrónico a contabilidad@estebanrios.com. El área encargada enviará la certificación en veinticuatro (24) horas.
estebanrios,Propietario,Propietario,¿Es imposible comunicarse con la Inmobiliaria por el teléfono?,"La Inmobiliaria desde el mes de enero de 2021 cuenta con contact center, y estamos trabajando en el desarrollo de un proyecto de comunicaciones, el cual facilitará el contatco con nuestros clientes. 
Si usted desea, puede enviar un correo electrónico al área de intereses. 
CORREOS ELECTRÓNICOS DE LAS DISTINTAS ÁREAS DE LA INMOBILIARIA:
Mantenimiento: mantenimiento@estebanrios.com
Cartera: cartera@estebanrios.com
Contabilidad: contabildiad@estebanrios.com
Desocupaciones: desocupaciones@estebanrios.com
Peticiones y solicitudes: quejasyreclamos@estebanrios.com
Consignaciones: consignaciones@estebanrios.com"
estebanrios,Arrendatario,Arrendatario,¿En donde puedo pagar el arriendo?,"En el Banco Caja Social con la factura dentro de los plazos establecidos en la misma o a través del botón de pagos de la página web <a href=""www.estebanrios.com"" target=""_blank"">www.estebanrios.com</a>."
estebanrios,Arrendatario,Arrendatario,¿Cuáles son las fechas de pago?,"1 al 05 de cada mes. A partir del día 06 se generan intereses moratorios y el día 18 de cada mes se carga cobro pre-jurídico. El 05 del siguiente mes se hace el reporte a la aseguradora, en caso que se evidencie mora."
estebanrios,Arrendatario,Arrendatario,¿Por qué me reportaron a la Aseguradora/Afianzadora?,"Porque en la fecha en la que se presenta el reporte usted lleva más de treinta (30) días en mora. Adicionalmente la Inmobiliaria debe cumplir con los procedimientos y fechas de reporte exigidos por las empresas afianzadoras y aseguradoras para el reporte de la mora, esto es cuando el inquilino debe dos meses de arriendo, ya que el reporte se hace el día 5 del segundo mes en mora. "
estebanrios,Arrendatario,Arrendatario,¿Por qué la Aseguradora/Afianzadora me cobra en el mes en curso si aún tengo plazo para pagar?,"Porque a la fecha del reporte a la aseguradora se adeudan dos (2) meses, ya que las fechas que se les da de plazo para cancelar en la Inmobiliaria son para quienes se encuentran al día y se paga dentro del mismo mes o el primer día de mora. "
estebanrios,Arrendatario,Arrendatario,¿Porqué me cobran sanción si la factura no me llegó?,"Si el día primero de cada mes no le ha llegado la factura debe acercarse a la oficina principal a reclamarla o enviar un correo electrónico contabilidad@estebanrios.com, ya que esto no lo exime del pago puntual."
estebanrios,Arrendatario,Arrendatario,¿Por qué no siempre puedo pagar en la oficina en efectivo?,Por seguridad no manejamos efectivo en las oficinas y por comodidad para el inquilino se han dispuesto diferentes modalidades de pago de la factura.
estebanrios,Arrendatario,Arrendatario,¿Con cuanto tiempo debo pasar una comunicación para que no se renueve el contrato de arrendamiento al arrendatario?,"Para comercio y vivienda debe enviar una notificación a desocupaciones@estebanrios.com con más de tres meses de anterioridad a la fecha de vencimiento del contrato de arrendamiento y debe indicar el motivo por el cual desea desocupar.
Si toma otro inmobile con la Inmobiliaria, no se cobran derechos de entrega igual al 10% del valor del canon y el estudio de documentos lo asume la Inmobiliaria. Debe informar en la comunicación si desea que se búsque un inmueble."
estebanrios,Arrendatario,Arrendatario,¿Es posible que se concedan prórrogas al contrato de arrendamiento?,"Sí es posible, debe hacer una solicitud escrita indicando el tiempo que requiere de prórroga, para que de esta forma la oficina pueda hacer la respectiva consulta con el propietario y dar respuesta en atención a las instrucciones por él recibidas."
estebanrios,Arrendatario,Arrendatario,¿Qué debo tener en el momento de la desocupación?,"Enviar un correo electrónico a serviciospublicos@estebanrios.com con la siguiente documentos, con por lo menos dos (02) dìas de antelación a la fecha de la visita final, últimas facturas originales de servicios públicos canceladas, retiros de cualquier ítem diferente a los habituales en los recibos (eje: seguros, tarjetas crediuno, olivos, Internet, Tv, etc...) paz y salvo de administración."
estebanrios,Arrendatario,Arrendatario,¿Por qué me están cobrando agua de un mes cuando desocupe ya desocupé el inmueble?,"Porque se le cobra el consumo del servicio de acuerdo con la lectura tomada en el contador en el momento de la entrega del inmueble a la Inmobiliaria, independiente del mes que facture el acueducto, eso quiere decir, que dichos consumos pueden quedar dentro del mismo mes en que se desocupó el inmueble o incluso hasta dos meses después, dependiendo de la facturación del Acueducto, ya que el sistema de toma de lecturas implementado por el Acueducto es bimensual, es decir que cada dos meses se realiza la toma física de lecturas para facturación y se obtiene y se obtiene de la diferencia entre la lectura anterior y la lectura actual, resultado que se divide en dos para obtener el valor a cobrar por consumo en los dos meses siguientes. El cobro de cargo fijo se hace hasta la fecha de desocupación."
estebanrios,Arrendatario,Arrendatario,¿Hasta cuando me van a cobrar servicios públicos?,De acuerdo a las últimas lecturas tomadas en el momento de la desocupación del inmueble. La ley da a las empresas de servicios públicos hasta seis meses para facturar consumos u otros cargos adicionales
estebanrios,Arrendatario,Arrendatario,¿Cuando me corresponde pagar el recibo de un servicio público?,Si dentro de las lecturas de los recibos se encuentran consumos correspondientes a las lecturas tomadas en el momento de la entrega o la desocupación del inmueble le corresponde al arrendatario cancelarlas
estebanrios,Arrendatario,Arrendatario,¿En qué se basan para sacar la liquidación de servicios públicos pendientes por facturar?,"Se toma fecha de la desocupación para liquidar los cargos fijos que debe cancelar y para los consumos pendientes las lecturas tomadas por el Inventarista a cada uno de los contadores en la visita final, esto en base a los últimos recibos cancelados. Al liquidarse sobre recibos cancelados se obtiene un valor aproximado."
estebanrios,Arrendatario,Arrendatario,¿Quienes deben cancelar las cuotas extraordinarias?,Es responsabilidad de los propietarios de acuerdo a las decisiones tomadas en las asambleas para un fin específico directamente con las áreas comunes del mismo.
estebanrios,Arrendatario,Arrendatario,¿Dónde puedeo radicar un daño en el inmueble?,Favor comunicarse al correo electrónico mantenimiento@estebanrios.com
estebanrios,Arrendatario,Arrendatario,¿Cómo puedo presentar una queja?,"Se puede presentar por escrito, por medio de e-mail (quejasyreclamos@estebanrios.com), pagina web, buzón de sugerencias, telefónica o personalmente.
El tiempo de respuesta es de cinco (05) días hábiles, contados desde el siguiente día de su radicación."
